

EXPERIMENT: exp
METHOD: MI_ztest x KCI
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_10_0_0			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.77 	+-0.18 (0.03) 			[jacc] 0.08 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_10_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_2			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_3			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_4			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_5			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_6			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_7			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_10_0_8			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 1.0 			[f1-a] 1.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 488.0	[fp-pairs] 0.0	[tn-pairs] 351.0	[fn-pairs] 61.0	[f1-pairs] 0.94	+-0.0(0.0)
				[tp-adj] 488.0	[fp-adj] 0.0	[tn-adj] 306.0	[fn-adj] 61.0	[f1-adj] 0.94	+-0.0(0.0)
				[tp-caus] 0	[fp-caus] 0	[tn-caus] 0	[fn-caus] 0	[f1-caus] 1	+-0.03(0.18)
				[tp] 1188.0	[fp] 68.0	[tn] 544.0	[fn] 0.0	[f1] 0.97	+-0.03(0.18)
				[jacc] 0.9	[ari] 0.92	[ami] 0.92

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_10_0_0			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.77 	+-0.18 (0.03) 			[jacc] 0.08 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_10_0_1			[f1-p] 0.78 	+-0.17 (0.03) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.76 	+-0.19 (0.04) 			[jacc] 0.79 			[f1-a] 0.78 	+-0.17 (0.03) 	
			5_1_10_0_2			[f1-p] 0.71 	+-0.19 (0.03) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.7 	+-0.19 (0.04) 			[jacc] 0.72 			[f1-a] 0.71 	+-0.19 (0.03) 	
			5_1_10_0_3			[f1-p] 0.7 	+-0.25 (0.06) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.7 	+-0.23 (0.06) 			[jacc] 0.72 			[f1-a] 0.69 	+-0.26 (0.07) 	
			5_1_10_0_4			[f1-p] 0.71 	+-0.27 (0.07) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.7 	+-0.26 (0.07) 			[jacc] 0.75 			[f1-a] 0.71 	+-0.27 (0.07) 	
