X	MethodType.ORACLE	MethodType.ORACLE_conf
0	1.0	0.0
1	0.9	0.03
2	0.87	0.03
3	0.87	0.04
4	0.9	0.02
5	0.76	0.08
6	0.69	0.14
7	0.5	0.12
8	0.0	0.0X	MethodType.ORACLE_DAG	MethodType.ORACLE_DAG_conf
0	0.95	0.02
1	0.85	0.03
2	0.83	0.04
3	0.73	0.09
4	0.73	0.08
5	0.59	0.15
6	0.51	0.16
7	0.35	0.1
8	0.05	0.01
