

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_15_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_16_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_17_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_18_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_19_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_20_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 0.0	[fp-pairs] 0.0	[tn-pairs] 741.0	[fn-pairs] 1159.0	[f1-pairs] 0.0	+-0.0(0.0)
				[tp-adj] 0.0	[fp-adj] 0.0	[tn-adj] 646.0	[fn-adj] 1159.0	[f1-adj] 0.0	+-0.0(0.0)
				[tp] 2508.0	[fp] 1292.0	[tn] 0.0	[fn] 0.0	[f1] 0.8	+-0.59(3.34)
				[jacc] 0.08	[ari] 0.3	[ami] 0.3

coco
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_2_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_3_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_4_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_5_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_7_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_8_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_9_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_10_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_11_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_12_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_13_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_14_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_15_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_16_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_17_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_18_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_19_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_20_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 0.0	[fp-pairs] 0.0	[tn-pairs] 741.0	[fn-pairs] 1159.0	[f1-pairs] 0.0	+-0.0(0.0)
				[tp-adj] 0.0	[fp-adj] 0.0	[tn-adj] 646.0	[fn-adj] 1159.0	[f1-adj] 0.0	+-0.0(0.0)
				[tp] 2508.0	[fp] 1292.0	[tn] 0.0	[fn] 0.0	[f1] 0.8	+-0.59(3.34)
				[jacc] 0.08	[ari] 0.3	[ami] 0.3

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			3_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			4_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			6_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			7_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			8_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			9_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 766.0	[fp-pairs] 0.0	[tn-pairs] 884.0	[fn-pairs] 0.0	[f1-pairs] 1.0	+-0.0(0.0)
				[tp-adj] 766.0	[fp-adj] 0.0	[tn-adj] 660.0	[fn-adj] 0.0	[f1-adj] 1.0	+-0.0(0.0)
				[tp] 1980.0	[fp] 0.0	[tn] 1320.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 1.0	[ari] 1.0	[ami] 1.0

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			3_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.75 	+-0.26 (0.07) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			4_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.78 	+-0.24 (0.06) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			6_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.75 	+-0.15 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			7_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.71 	+-0.14 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			8_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.7 	+-0.13 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			9_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.71 	+-0.13 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 0.0	[fp-pairs] 0.0	[tn-pairs] 884.0	[fn-pairs] 766.0	[f1-pairs] 0.0	+-0.0(0.0)
				[tp-adj] 0.0	[fp-adj] 0.0	[tn-adj] 660.0	[fn-adj] 766.0	[f1-adj] 0.0	+-0.0(0.0)
				[tp] 1980.0	[fp] 1320.0	[tn] 0.0	[fn] 0.0	[f1] 0.75	+-0.26(1.39)
				[jacc] 0.12	[ari] 0.33	[ami] 0.33

coco
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			3_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.75 	+-0.26 (0.07) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			4_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.78 	+-0.24 (0.06) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			5_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.77 	+-0.18 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			6_1_6_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.75 	+-0.15 (0.02) 			[f1-a] 0.0 	+-0.0 (0.0) 	
