

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			10_1_2_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_3_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_4_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_5_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_6_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_7_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_8_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_9_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			10_1_10_0_1			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
	OVERALL
		x_x_x	[tp-pairs] 1596.0	[fp-pairs] 0.0	[tn-pairs] 1998.0	[fn-pairs] 456.0	[f1-pairs] 0.88	+-0.0(0.0)
				[tp-adj] 1596.0	[fp-adj] 0.0	[tn-adj] 1566.0	[fn-adj] 456.0	[f1-adj] 0.88	+-0.0(0.0)
				[tp] 4968.0	[fp] 696.0	[tn] 2436.0	[fn] 0.0	[f1] 0.93	+-0.05(0.32)
				[jacc] 0.81	[ari] 0.82	[ami] 0.82

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			10_1_2_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_3_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_4_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
			10_1_5_0_1			[f1-p] 0.0 	+-0.0 (0.0) 			[f1-c] 0.74 	+-0.16 (0.03) 			[f1-a] 0.0 	+-0.0 (0.0) 	
