

EXPERIMENT: exp
METHOD: MI_ztest x SKIP
FUN_FORM: LIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_6_1_2			[f1-p] 0.9 	+-0.32 (0.1) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 1.0 	+-0.0 (0.0) 			[jacc] 0.9 			[f1-a] 0.9 	+-0.32 (0.1) 	
			3_1_6_1_2			[f1-p] 0.95 	+-0.16 (0.02) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.95 	+-0.16 (0.02) 			[jacc] 0.97 			[f1-a] 0.95 	+-0.16 (0.02) 	
			4_1_6_1_2			[f1-p] 0.82 	+-0.33 (0.11) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.91 	+-0.21 (0.04) 			[jacc] 0.86 			[f1-a] 0.85 	+-0.34 (0.11) 	
			5_1_6_1_2			[f1-p] 0.89 	+-0.22 (0.05) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.96 	+-0.13 (0.02) 			[jacc] 0.96 			[f1-a] 0.97 	+-0.11 (0.01) 	
			6_1_6_1_2			[f1-p] 0.78 	+-0.34 (0.11) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.85 	+-0.2 (0.04) 			[jacc] 0.84 			[f1-a] 0.8 	+-0.33 (0.11) 	
			7_1_6_1_2			[f1-p] 0.89 	+-0.14 (0.02) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.89 	+-0.19 (0.03) 			[jacc] 0.9 			[f1-a] 0.9 	+-0.18 (0.03) 	
			8_1_6_1_2			[f1-p] 0.84 	+-0.17 (0.03) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.86 	+-0.19 (0.04) 			[jacc] 0.86 			[f1-a] 0.85 	+-0.23 (0.05) 	
			9_1_6_1_2			[f1-p] 0.91 	+-0.11 (0.01) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.91 	+-0.15 (0.02) 			[jacc] 0.92 			[f1-a] 0.91 	+-0.15 (0.02) 	
			10_1_6_1_2			[f1-p] 0.89 	+-0.16 (0.03) 			[f1-cau] 0.0 	+-0.0 (0) 			[f1-clu] 0.88 	+-0.16 (0.03) 			[jacc] 0.88 			[f1-a] 0.88 	+-0.15 (0.02) 	
	OVERALL
		x_x_x	[tp-pairs] 701.0	[fp-pairs] 73.0	[tn-pairs] 811.0	[fn-pairs] 65.0	[f1-pairs] 0.91	+-0.49(1.95)
