X	5_1_20_0_0	5_1_20_0_0_conf	5_1_20_1_1	5_1_20_1_1_conf	5_1_20_2_2	5_1_20_2_2_conf	5_1_20_3_3	5_1_20_3_3_conf	5_1_20_4_4	5_1_20_4_4_conf	5_1_20_5_5	5_1_20_5_5_conf	5_1_20_6_6	5_1_20_6_6_conf	5_1_20_7_7	5_1_20_7_7_conf	5_1_20_8_8	5_1_20_8_8_conf	5_1_20_9_9	5_1_20_9_9_conf	5_1_20_10_10	5_1_20_10_10_conf	5_1_20_11_11	5_1_20_11_11_conf	5_1_20_12_12	5_1_20_12_12_conf	5_1_20_13_13	5_1_20_13_13_conf	5_1_20_14_14	5_1_20_14_14_conf	5_1_20_15_15	5_1_20_15_15_conf	5_1_20_16_16	5_1_20_16_16_conf	5_1_20_17_17	5_1_20_17_17_conf	5_1_20_18_18	5_1_20_18_18_conf	5_1_20_19_19	5_1_20_19_19_conf
0	0.0	0.0
1	0.47	0.21
2	0.59	0.22
3	0.6	0.22
4	0.59	0.21
5	0.55	0.23
6	0.5	0.21
7	0.46	0.16
8	0.39	0.15
9	0.28	0.1
10	0.31	0.09
11	0.23	0.08
12	0.18	0.06
13	0.15	0.03
14	0.09	0.03
15	0.07	0.02
16	0.08	0.02
17	0.02	0.0
18	0.0	0.0
19	0.0	0.0
