X	5_1_20_sx_0	5_1_20_sx_0_conf	5_1_20_sx_1	5_1_20_sx_1_conf	5_1_20_sx_2	5_1_20_sx_2_conf	5_1_20_sx_3	5_1_20_sx_3_conf	5_1_20_sx_4	5_1_20_sx_4_conf	5_1_20_sx_5	5_1_20_sx_5_conf	5_1_20_sx_6	5_1_20_sx_6_conf	5_1_20_sx_7	5_1_20_sx_7_conf	5_1_20_sx_8	5_1_20_sx_8_conf	5_1_20_sx_9	5_1_20_sx_9_conf	5_1_20_sx_10	5_1_20_sx_10_conf	5_1_20_sx_11	5_1_20_sx_11_conf	5_1_20_sx_12	5_1_20_sx_12_conf	5_1_20_sx_13	5_1_20_sx_13_conf	5_1_20_sx_14	5_1_20_sx_14_conf	5_1_20_sx_15	5_1_20_sx_15_conf	5_1_20_sx_16	5_1_20_sx_16_conf	5_1_20_sx_17	5_1_20_sx_17_conf	5_1_20_sx_18	5_1_20_sx_18_conf	5_1_20_sx_19	5_1_20_sx_19_conf
10	0.74	0.07	0.74	0.06	0.83	0.04	0.81	0.03	0.8	0.02	0.81	0.02	0.8	0.06	0.73	0.05	0.75	0.05	0.76	0.06	0.72	0.06	0.74	0.08	0.74	0.09	0.75	0.07	0.7	0.09	0.57	0.1	0.31	0.07	0.24	0.04	0.18	0.06	0.0	0.0
11	0.68	0.06	0.62	0.06	0.61	0.05	0.68	0.03	0.75	0.03	0.72	0.03	0.71	0.04	0.72	0.03	0.62	0.07	0.72	0.04	0.65	0.06	0.63	0.07	0.65	0.08	0.63	0.09	0.58	0.12	0.49	0.13	0.26	0.08	0.19	0.03	0.16	0.07	0.0	0.0
12	0.49	0.06	0.52	0.06	0.6	0.05	0.59	0.05	0.59	0.05	0.58	0.05	0.5	0.07	0.49	0.07	0.49	0.08	0.62	0.06	0.6	0.07	0.59	0.07	0.6	0.08	0.55	0.09	0.48	0.13	0.4	0.12	0.23	0.07	0.18	0.03	0.14	0.07	0.0	0.0
13	0.51	0.07	0.51	0.06	0.49	0.08	0.51	0.08	0.48	0.09	0.51	0.07	0.58	0.04	0.56	0.05	0.57	0.07	0.58	0.07	0.54	0.08	0.55	0.08	0.55	0.08	0.45	0.11	0.37	0.13	0.31	0.11	0.2	0.07	0.15	0.04	0.13	0.07	0.0	0.0
14	0.36	0.04	0.34	0.04	0.38	0.06	0.43	0.06	0.5	0.07	0.5	0.06	0.54	0.06	0.51	0.07	0.48	0.07	0.45	0.07	0.4	0.08	0.41	0.1	0.39	0.09	0.33	0.11	0.27	0.11	0.22	0.09	0.18	0.07	0.13	0.04	0.11	0.04	0.0	0.0
15	0.31	0.08	0.33	0.08	0.36	0.08	0.41	0.06	0.45	0.07	0.41	0.07	0.4	0.07	0.41	0.06	0.36	0.06	0.31	0.06	0.26	0.07	0.26	0.08	0.27	0.06	0.21	0.07	0.17	0.07	0.16	0.07	0.12	0.06	0.06	0.02	0.06	0.02	0.0	0.0
16	0.36	0.07	0.34	0.06	0.32	0.06	0.28	0.03	0.25	0.04	0.26	0.04	0.24	0.04	0.23	0.04	0.2	0.04	0.18	0.04	0.13	0.03	0.12	0.03	0.1	0.03	0.06	0.01	0.05	0.01	0.06	0.01	0.03	0.01	0.04	0.01	0.04	0.01	0.0	0.0
17	0.2	0.06	0.17	0.07	0.14	0.05	0.08	0.01	0.08	0.01	0.06	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.02	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.0	0.0
18	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
