X	5_1_20_0_0	5_1_20_0_0_conf	5_1_20_1_1	5_1_20_1_1_conf	5_1_20_2_2	5_1_20_2_2_conf	5_1_20_3_3	5_1_20_3_3_conf	5_1_20_4_4	5_1_20_4_4_conf	5_1_20_5_5	5_1_20_5_5_conf	5_1_20_6_6	5_1_20_6_6_conf	5_1_20_7_7	5_1_20_7_7_conf	5_1_20_8_8	5_1_20_8_8_conf	5_1_20_9_9	5_1_20_9_9_conf	5_1_20_10_10	5_1_20_10_10_conf	5_1_20_11_11	5_1_20_11_11_conf	5_1_20_12_12	5_1_20_12_12_conf	5_1_20_13_13	5_1_20_13_13_conf	5_1_20_14_14	5_1_20_14_14_conf	5_1_20_15_15	5_1_20_15_15_conf	5_1_20_16_16	5_1_20_16_16_conf	5_1_20_17_17	5_1_20_17_17_conf	5_1_20_18_18	5_1_20_18_18_conf	5_1_20_19_19	5_1_20_19_19_conf
0	0.0	0.0
1	0.75	0.09
2	0.72	0.08
3	0.72	0.07
4	0.72	0.07
5	0.73	0.07
6	0.75	0.07
7	0.75	0.07
8	0.75	0.06
9	0.75	0.08
10	0.68	0.08
11	0.63	0.08
12	0.59	0.08
13	0.45	0.08
14	0.28	0.1
15	0.2	0.09
16	0.05	0.01
17	0.04	0.02
18	0.05	0.02
19	0.0	0.0
