

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x KCI
FUN_FORM: LIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_1			[f1-p] 0.9 	+-0.32 (0.1) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.32 (0.1) 	
			5_1_4			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
			5_2_1			[f1-p] 0.8 	+-0.42 (0.18) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.8 	+-0.42 (0.18) 	
			5_3_1			[f1-p] 0.6 	+-0.52 (0.27) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.52 (0.27) 	
			5_2_4			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
			5_0_0			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
			5_0_4			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
	OVERALL
		x_x_x	[tp-pairs] 9.0	[fp-pairs] 1.0	[tn-pairs] 34.0	[fn-pairs] 26.0	[f1-pairs] 0.4	+-1.66(3.36)
				[tp-adj] 9.0	[fp-adj] 1.0	[tn-adj] 0.0	[fn-adj] 26.0	[f1-adj] 0.4	+-1.66(3.36)
				[tp] 140.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.61	[ari] 1.0	[ami] 1.0

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_1			[f1-p] 0.9 	+-0.32 (0.1) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.9 	+-0.32 (0.1) 	
			5_1_4			[f1-p] 0.4 	+-0.52 (0.27) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.52 (0.27) 	
			5_2_1			[f1-p] 0.7 	+-0.48 (0.23) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.48 (0.23) 	
			5_3_1			[f1-p] 0.7 	+-0.48 (0.23) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.48 (0.23) 	
			5_2_4			[f1-p] 0.3 	+-0.48 (0.23) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.3 	+-0.48 (0.23) 	
			5_0_0			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
			5_0_4			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
	OVERALL
		x_x_x	[tp-pairs] 12.0	[fp-pairs] 7.0	[tn-pairs] 28.0	[fn-pairs] 23.0	[f1-pairs] 0.44	+-1.62(3.34)
				[tp-adj] 12.0	[fp-adj] 7.0	[tn-adj] 0.0	[fn-adj] 23.0	[f1-adj] 0.44	+-1.62(3.34)
				[tp] 140.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.57	[ari] 1.0	[ami] 1.0

coco
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_1_1			[f1-p] 0.8 	+-0.42 (0.18) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.8 	+-0.42 (0.18) 	
			5_1_4			[f1-p] 0.4 	+-0.52 (0.27) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.52 (0.27) 	
			5_2_1			[f1-p] 0.7 	+-0.48 (0.23) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.48 (0.23) 	
			5_3_1			[f1-p] 0.7 	+-0.48 (0.23) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.7 	+-0.48 (0.23) 	
			5_2_4			[f1-p] 0.3 	+-0.48 (0.23) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.3 	+-0.48 (0.23) 	
			5_0_0			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
			5_0_4			[f1-p] 0.5 	+-0.53 (0.28) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.53 (0.28) 	
	OVERALL
		x_x_x	[tp-pairs] 11.0	[fp-pairs] 7.0	[tn-pairs] 28.0	[fn-pairs] 24.0	[f1-pairs] 0.42	+-1.7(3.44)
				[tp-adj] 11.0	[fp-adj] 7.0	[tn-adj] 0.0	[fn-adj] 24.0	[f1-adj] 0.42	+-1.7(3.44)
				[tp] 140.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.56	[ari] 1.0	[ami] 1.0
