X	oracle	oracle_conf	coco	coco_conf
1	1.0	0.0	0.74	0.03
2	0.91	0.04	0.52	0.01
3	0.59	0.01	0.34	0.0
4	0.65	0.03	0.23	0.0
X	oracle	oracle_conf	coco	coco_conf
1	1.0	0.0	0.0	0.0
2	0.94	0.02	0.0	0.0
3	0.82	0.02	0.0	0.0
4	0.78	0.02	0.0	0.0

X	oracle	oracle_conf	coco	coco_conf
1	1.0	0.0	0.73	0.01
2	0.91	0.03	0.59	0.01
3	0.78	0.01	0.48	0.01
4	0.58	0.01	0.4	0.01
5	0.59	0.01	0.34	0.0
6	0.66	0.03	0.3	0.0
7	0.75	0.02	0.28	0.0
8	0.73	0.01	0.25	0.0
9	0.74	0.01	0.25	0.01
X	oracle	oracle_conf	coco	coco_conf
1	1.0	0.0	0.0	0.0
2	0.96	0.01	0.0	0.0
3	0.91	0.02	0.0	0.0
4	0.84	0.01	0.0	0.0
5	0.84	0.01	0.0	0.0
6	0.75	0.02	0.0	0.0
7	0.65	0.01	0.0	0.0
8	0.61	0.02	0.0	0.0
9	0.49	0.01	0.0	0.0

X	oracle	oracle_conf	coco	coco_conf
0	0.77	0.03	0.77	0.03
1	1.0	0.0	0.77	0.03
2	1.0	0.0	0.77	0.03
3	1.0	0.0	0.77	0.03
4	1.0	0.0	0.77	0.03
X	oracle	oracle_conf	coco	coco_conf
0	0.0	0.0	0.0	0.0
1	1.0	0.0	0.0	0.0
2	1.0	0.0	0.0	0.0
3	1.0	0.0	0.0	0.0
4	1.0	0.0	0.0	0.0X	oracle	oracle_conf	coco	coco_conf
0X	oracle	oracle_conf	coco	coco_conf
5	0.62	0.02	0.77	0.03X	oracle	oracle_conf	coco	coco_conf
5	0.31	0.12	0.0	0.0X	oracle	oracle_conf	coco	coco_conf
0X	oracle	oracle_conf	coco	coco_conf
5	0.62	0.02	0.6	0.04X	oracle	oracle_conf	coco	coco_conf
5	0.31	0.12	0.22	0.06X	oracle	oracle_conf	coco	coco_conf
0	0.64	0.03	0.59	0.04
1	0.79	0.08	0.63	0.06
2	0.96	0.02	0.83	0.04
3	0.92	0.03	0.74	0.04
4	0.86	0.06	0.78	0.08
5	0.77	0.03	0.68	0.02X	oracle	oracle_conf	coco	coco_conf
0	0.11	0.03	0.22	0.05
1	0.73	0.09	0.51	0.08
2	0.86	0.05	0.67	0.05
3	0.87	0.02	0.61	0.08
4	0.84	0.07	0.62	0.1
5	0.0	0.0	0.09	0.03X	oracle	oracle_conf	coco	coco_conf
5	0.62	0.02	0.6	0.04X	oracle	oracle_conf	coco	coco_conf
5	0.31	0.12	0.22	0.06
