

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x SKIP
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
				[tp-adj] 398.0	[fp-adj] 28.0	[tn-adj] 0.0	[fn-adj] 142.0	[f1-adj] 0.82	+-3.97(10.14)
				[tp] 2160.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.84	[ari] 1.0	[ami] 1.0

cocoracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			2_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_1			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			3_0_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			4_3_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			4_2_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			4_1_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			4_0_2			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			6_4_3			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			6_3_3			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
