X	MethodType.ORACLE	MethodType.ORACLE_conf
15	0.87	0.03
20	0.88	0.04
X	MethodType.ORACLE_DAG	MethodType.ORACLE_DAG_conf	MethodType.COCO	MethodType.COCO_conf
15	0.88	0.03	0.85	0.04
20	0.87	0.04	0.85	0.05X	MethodType.ORACLE	MethodType.ORACLE_conf
15	0.87	0.03
20	0.88	0.04
