X	MethodType.ORACLE	MethodType.ORACLE_conf
15	0.87	0.03
20	0.76	0.04X	MethodType.ORACLE_DAG	MethodType.ORACLE_DAG_conf	MethodType.COCO	MethodType.COCO_conf
15	0.68	0.04	0.65	0.03
20	0.49	0.06	0.47	0.06X	MethodType.ORACLE	MethodType.ORACLE_conf
15	0.87	0.03
20	0.76	0.04
