X	oracle	oracle_conf	cocoracle	cocoracle_conf
0	0.0	0.0	0.0	0.0
1	1.0	0.0	0.0	0.0
2	1.0	0.0	0.0	0.0
3	1.0	0.0	0.0	0.0
4	1.0	0.0	0.0	0.0
5	1.0	0.0	0.0	0.0
6	1.0	0.0	0.0	0.0
7	1.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0X	oracle	oracle_conf	cocoracle	cocoracle_conf
0	0.0	0.0	0.0	0.0
1	1.0	0.0	0.92	0.02
2	1.0	0.0	0.92	0.02
3	1.0	0.0	0.92	0.02
4	1.0	0.0	0.92	0.02
5	1.0	0.0	0.84	0.1
6	1.0	0.0	0.76	0.17
7	1.0	0.0	0.67	0.22
8	1.0	0.0	0.86	0.03
