X	MethodType.ORACLE	MethodType.ORACLE_conf	MethodType.COCO	MethodType.COCO_conf
0	0.0	0.0	0.0	0.0
1	1.0	0.0	0.92	0.03
2	1.0	0.0	0.81	0.1
3	1.0	0.0	0.85	0.04
