X	MethodType.ORACLE	MethodType.ORACLE_conf
3	0.0	0.0
4	0.75	0.08
5	0.92	0.01
6	0.9	0.04
7	0.97	0.0
8	1.0	0.0
9	0.98	0.0
10	0.96	0.02
