X	MethodType.ORACLE	MethodType.ORACLE_conf	MethodType.COCO	MethodType.COCO_conf
0	0.69	0.08	0.69	0.08
1	0.6	0.11	0.6	0.11
2	0.67	0.11	0.67	0.11
3	0.72	0.06	0.72	0.06
