X	MethodType.ORACLE	MethodType.ORACLE_conf	MethodType.COCO	MethodType.COCO_conf
0	1.0	0.0	0.97	0.01
1	0.92	0.01	0.61	0.21
2	0.55	0.1	0.45	0.09
3	0.0	0.0	0.0	0.0
