X	MethodType.ORACLE	MethodType.ORACLE_conf
0	1.0	0.0
1	0.96	0.02
2	0.92	0.02
3	0.92	0.03
4	0.94	0.01
5	0.8	0.06
6	0.6	0.18
7	0.42	0.15
8	0.0	0.0
