X	MethodType.FCI_JCI	MethodType.FCI_JCI_conf	MethodType.FCI_JCI_FULL	MethodType.FCI_JCI_FULL_conf	MethodType.FCI_POOLED	MethodType.FCI_POOLED_conf	MethodType.FCI_POOLED_FULL	MethodType.FCI_POOLED_FULL_conf	MethodType.FCI_CONTEXT	MethodType.FCI_CONTEXT_conf	MethodType.FCI_CONTEXT_FULL	MethodType.FCI_CONTEXT_FULL_conf
15	0.19	0.04	0.15	0.03	0.04	0.01	0.09	0.03	0.02	0.0	0.02	0.0
20	0.19	0.03	0.11	0.02	0.0	0.0	0.1	0.04	0.0	0.0	0.03	0.01
