X	MethodType.ORACLE	MethodType.ORACLE_conf
0	0.07	0.01
1	0.18	0.03
2	0.14	0.03
3	0.16	0.03
4	0.14	0.03
5	0.14	0.03
6	0.13	0.03
7	0.12	0.02
8	0.14	0.02
9	0.02	0.0
