X	MethodType.ORACLE	MethodType.ORACLE_conf
0	1.0	0.0
1	0.84	0.05
2	0.81	0.05
3	0.82	0.05
4	0.79	0.04
5	0.63	0.08
6	0.65	0.05
7	0.43	0.07
8	0.0	0.0
