X	MethodType.ORACLE	MethodType.ORACLE_conf
2	0.45	0.26
3	0.8	0.17
4	0.9	0.09
5	1.0	0.0
6	1.0	0.0
7	1.0	0.0
8	1.0	0.0
9	1.0	0.0
10	1.0	0.0
15	1.0	0.0
20	1.0	0.0
