X	MethodType.ORACLE	MethodType.ORACLE_conf
0	0.1	0.01
1	0.12	0.02
2	0.39	0.04
3	0.4	0.03
4	0.31	0.02X	MethodType.ORACLE	MethodType.ORACLE_conf
0	0.1	0.01
1	0.12	0.02
2	0.39	0.04
3	0.4	0.03
4	0.31	0.02X	MethodType.ORACLE	MethodType.ORACLE_conf
5	0.37	0.01
