X	MethodType.ORACLE	MethodType.ORACLE_conf
3	0.0	0.0
4	0.77	0.03
5	0.84	0.02
6	0.84	0.04
7	0.86	0.03
8	0.86	0.04
9	0.82	0.05
10	0.84	0.04
