X	MethodType.ORACLE	MethodType.ORACLE_conf
0	0.15	0.13
1	0.85	0.04
2	0.66	0.01
3	0.56	0.01
4	0.49	0.02X	MethodType.ORACLE	MethodType.ORACLE_conf
5	0.34	0.01
