X	5_1_10_0_sz	5_1_10_0_sz_conf	5_1_10_1_sz	5_1_10_1_sz_conf	5_1_10_2_sz	5_1_10_2_sz_conf	5_1_10_3_sz	5_1_10_3_sz_conf	5_1_10_4_sz	5_1_10_4_sz_conf	5_1_10_5_sz	5_1_10_5_sz_conf	5_1_10_6_sz	5_1_10_6_sz_conf	5_1_10_7_sz	5_1_10_7_sz_conf	5_1_10_8_sz	5_1_10_8_sz_conf	5_1_10_9_sz	5_1_10_9_sz_conf
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0X	5_1_10_sx_0	5_1_10_sx_0_conf	5_1_10_sx_1	5_1_10_sx_1_conf	5_1_10_sx_2	5_1_10_sx_2_conf	5_1_10_sx_3	5_1_10_sx_3_conf	5_1_10_sx_4	5_1_10_sx_4_conf	5_1_10_sx_5	5_1_10_sx_5_conf	5_1_10_sx_6	5_1_10_sx_6_conf	5_1_10_sx_7	5_1_10_sx_7_conf	5_1_10_sx_8	5_1_10_sx_8_conf	5_1_10_sx_9	5_1_10_sx_9_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.13	0.03	0.86	0.06	0.96	0.02	0.96	0.02	0.96	0.02	0.96	0.02	0.95	0.03	0.95	0.02	0.84	0.07	0.0	0.0
2	0.15	0.02	0.82	0.07	0.9	0.03	0.92	0.02	0.92	0.02	0.94	0.01	0.91	0.02	0.91	0.03	0.76	0.13	0.0	0.0
3	0.11	0.02	0.84	0.04	0.89	0.03	0.91	0.03	0.92	0.03	0.94	0.03	0.91	0.02	0.89	0.05	0.63	0.21	0.0	0.0
4	0.12	0.03	0.77	0.09	0.85	0.07	0.86	0.04	0.79	0.05	0.82	0.03	0.82	0.08	0.82	0.11	0.57	0.2	0.0	0.0
5	0.07	0.02	0.68	0.16	0.76	0.11	0.82	0.04	0.84	0.02	0.73	0.09	0.8	0.06	0.72	0.15	0.48	0.18	0.0	0.0
6	0.1	0.03	0.7	0.11	0.83	0.03	0.83	0.03	0.81	0.03	0.68	0.11	0.61	0.15	0.6	0.18	0.45	0.16	0.0	0.0
7	0.08	0.02	0.6	0.2	0.65	0.11	0.55	0.13	0.54	0.12	0.35	0.15	0.46	0.14	0.44	0.16	0.42	0.15	0.0	0.0
8	0.0	0.0	0.46	0.15	0.52	0.12	0.48	0.12	0.46	0.1	0.3	0.12	0.38	0.12	0.41	0.13	0.39	0.12	0.0	0.0
9	0.0	0.0	0.3	0.12	0.3	0.12	0.3	0.12	0.3	0.12	0.3	0.12	0.3	0.12	0.3	0.12	0.3	0.12	0.0	0.0
