X	MethodType.ORACLE	MethodType.ORACLE_conf
0	0.13	0.01
1	0.81	0.05
2	0.83	0.05
3	0.83	0.05
4	0.84	0.05
5	0.84	0.05
6	0.84	0.05
7	0.84	0.05
8	0.8	0.06
9	0.0	0.0
