X	5_1_10_sx_sz	5_1_10_sx_sz_conf
4	1.0	0.0X	5_1_10_0_0	5_1_10_0_0_conf	5_1_10_1_1	5_1_10_1_1_conf	5_1_10_2_2	5_1_10_2_2_conf	5_1_10_3_3	5_1_10_3_3_conf	5_1_10_4_4	5_1_10_4_4_conf	5_1_10_5_5	5_1_10_5_5_conf	5_1_10_6_6	5_1_10_6_6_conf	5_1_10_7_7	5_1_10_7_7_conf	5_1_10_8_8	5_1_10_8_8_conf	5_1_10_9_9	5_1_10_9_9_conf
0	1.0	0.0
1	1.0	0.0
2	1.0	0.0
3	1.0	0.0
4	1.0	0.0
5	1.0	0.0
6	1.0	0.0
7	1.0	0.0
8	1.0	0.0
9	1.0	0.0
