X	MethodType.ORACLE	MethodType.ORACLE_conf
0	1.0	0.0
1	1.0	0.0
2	0.98	0.0
3	0.96	0.01
4	0.85	0.02
5	0.6	0.09
6	0.64	0.07
7	0.36	0.08
8	0.0	0.0
