X	MethodType.ORACLE	MethodType.ORACLE_conf
3	0.0	0.0
4	0.68	0.06
5	0.83	0.03
6	0.89	0.02
7	0.96	0.01
8	1.0	0.0
9	1.0	0.0
10	1.0	0.0X	MethodType.ORACLE	MethodType.ORACLE_conf
3	0.0	0.0
4	0.68	0.06
5	0.83	0.03
6	0.89	0.02
7	0.96	0.01
8	1.0	0.0
9	1.0	0.0
10	1.0	0.0
