X	MethodType.ORACLE	MethodType.ORACLE_conf
2	0.0	0.0
3	0.15	0.13
4	0.19	0.13
5	0.13	0.07
6	0.09	0.03
7	0.22	0.06
8	0.15	0.03
9	0.15	0.02
10	0.14	0.03
15	0.21	0.02
20	0.18	0.03
