X	MethodType.ORACLE	MethodType.ORACLE_conf
0	0.0	0.0
1	0.13	0.02
2	0.17	0.03
3	0.12	0.02
4	0.1	0.02
5	0.07	0.01
6	0.07	0.01
7	0.08	0.02
8	0.0	0.0
