X	MethodType.ORACLE	MethodType.ORACLE_conf
3	0.0	0.0
4	0.01	0.0
5	0.03	0.01
6	0.11	0.06
7	0.06	0.02
8	0.06	0.05
9	0.11	0.06
10	0.14	0.07
