X	MethodType.ORACLE	MethodType.ORACLE_conf
3	0.0	0.0
4	0.71	0.12
5	0.84	0.06
6	0.88	0.04
7	0.97	0.01
8	0.98	0.0
9	1.0	0.0
10	1.0	0.0
